MonthS,DOWS,start_station_id,start_station_id
1,0,2733.03,11
1,0,2782.02,8
1,0,2832.03,9
1,0,2872.02,7
1,0,2883.03,5
1,0,2912.08,20
1,0,2923.01,6
1,0,2932.01,16
1,0,2951.05,19
1,0,2961.05,14
1,0,3000.08,7
1,0,3007.05,11
1,0,3011.03,20
1,0,3019.02,1
1,0,3046.03,18
1,0,3050.03,10
1,0,3056.05,22
1,0,3084.05,1
1,0,3090.06,7
1,0,3093.07,7
1,0,3117.05,34
1,0,3125.09,32
1,0,3129.08,11
1,0,3135.04,4
1,0,3138.09,10
1,0,3161.02,18
1,0,3166.03,19
1,0,3169.07,34
1,0,3178.02,6
1,0,3192.05,36
1,0,3199.01,16
1,0,3202.06,11
1,0,3208.07,24
1,0,3211.06,24
1,0,3220.01,3
1,0,3230.01,18
1,0,3233.06,17
1,0,3240.15,30
1,0,3243.02,8
1,0,3253.01,7
1,0,3266.01,14
1,0,3272.01,17
1,0,3275.03,25
1,0,3280.04,26
1,0,3283.05,7
1,0,3303.01,29
1,0,3306.03,24
1,0,3312.07,18
1,0,3315.05,6
1,0,3344.02,76
1,0,3347.03,20
1,0,3353.04,17
1,0,3356.05,2
1,0,3376.02,94
1,0,3379.03,15
1,0,3385.06,35
1,0,3388.02,5
1,0,3394.03,6
1,0,3420.01,39
1,0,3426.02,10
1,0,3428.02,10
1,0,3451.01,4
1,0,3457.03,40
1,0,3460.01,11
1,0,3460.02,37
1,0,3460.04,6
1,0,3492.04,8
1,0,3498.09,40
1,0,3501.01,4
1,0,3507.04,45
1,0,3515.01,18
1,0,3523.06,9
1,0,3532.02,7
1,0,3538.09,54
1,0,3547.04,20
1,0,3555.04,25
1,0,3564.04,14
1,0,3579.04,74
1,0,3588.01,39
1,0,3596.04,21
1,0,3611.02,52
1,0,3620.02,40
1,0,3628.11,74
1,0,3651.04,219
1,0,3665.06,31
1,0,3668.04,31
1,0,3696.05,72
1,0,3699.07,78
1,0,3704.04,114
1,0,3704.08,38
1,0,3707.01,9
1,0,3722.04,105
1,0,3731.11,101
1,0,3736.03,41
1,0,3736.04,14
1,0,3739.06,43
1,0,3762.08,142
